ac3_max_domain,ac3_min_domain,algorithm,checks_avg,colors,steps_avg,time_avg_s,valid_ratio
,,Backtracking,768,2,798,0.0008648666747224828,0.0
,,ForwardChecking,336,2,70,0.0005903666703185687,0.0
,,AC-3,0,2,2,0.0001078000059351325,0.0
2,2,AC3,0,2,0,0.00014449999434873462,1.0
,,Backtracking,394065,3,223437,0.18745936667740656,0.0
,,ForwardChecking,278496,3,31710,0.26343310000568937,0.0
,,AC-3,378,3,1092,0.042235966665127,0.0
3,3,AC3,0,3,0,0.00017669997760094702,1.0
,,Backtracking,110,4,67,8.740000581989686e-05,1.0
,,ForwardChecking,393,4,34,0.0004418333410285413,1.0
,,AC-3,58,4,34,0.0012178333417978138,1.0
4,4,AC3,0,4,0,0.0003087999939452857,1.0
